Weight_Mean,Weight_Median,Weight_Mode,Weight_Max_Mode,Date_Time
23.326,23.6,23.9,NO MAX_MODE,2022-03-09 17:57:08.715444
26.692,26.9,23.9,NO MAX_MODE,2022-03-09 19:05:12.433753
28.996,30.15,NO MODE,NO MAX_MODE,2022-03-09 20:01:04.372998
38.716,38.25,41.1,NO MAX_MODE,2022-03-09 20:08:52.173718
25.746,26.4,26.4,NO MAX_MODE,2022-03-09 20:54:28.251660
32.41,30.7,NO MODE,NO MAX_MODE,2022-03-09 20:59:56.924150
27.42,28.1,28.7,NO MAX_MODE,2022-03-10 00:05:18.986535
26.244,26.4,25.0,NO MAX_MODE,2022-03-10 03:06:22.031555
26.766,26.6,NO MODE,NO MAX_MODE,2022-03-10 03:15:41.854852
25.733999999999998,25.2,NO MODE,NO MAX_MODE,2022-03-10 05:56:24.636212
23.246,22.4,NO MODE,NO MAX_MODE,2022-03-10 08:49:08.744564
24.201999999999998,23.25,NO MODE,NO MAX_MODE,2022-03-10 11:29:54.726258
27.814,26.299999999999997,NO MODE,NO MAX_MODE,2022-03-10 12:11:12.474070
28.816,28.6,28.6,NO MAX_MODE,2022-03-10 12:27:06.585027
28.048000000000002,27.8,NO MODE,NO MAX_MODE,2022-03-10 13:13:42.101667
27.85,26.25,24.8,NO MAX_MODE,2022-03-10 13:35:17.766418
26.606,26.35,NO MODE,NO MAX_MODE,2022-03-10 13:53:36.617428
27.358,27.5,NO MODE,NO MAX_MODE,2022-03-10 14:08:39.330356
27.388,27.15,27.0,NO MAX_MODE,2022-03-10 14:30:39.539532
27.64,28.9,NO MODE,NO MAX_MODE,2022-03-10 14:48:20.433551
26.342,26.05,25.8,NO MAX_MODE,2022-03-10 15:08:09.655228
25.092,25.799999999999997,22.7,NO MAX_MODE,2022-03-10 15:30:18.236152
25.912,26.15,26.6,NO MAX_MODE,2022-03-10 15:52:41.462672
29.302,31.1,31.4,NO MAX_MODE,2022-03-10 18:01:15.045456
24.078,24.3,26.1,NO MAX_MODE,2022-03-10 18:45:49.924141
26.314,25.9,27.5,NO MAX_MODE,2022-03-10 19:17:59.612465
30.548,31.55,25.7,NO MAX_MODE,2022-03-10 20:11:53.011962
29.128,29.4,NO MODE,NO MAX_MODE,2022-03-10 20:57:50.115005
28.942,27.0,NO MODE,NO MAX_MODE,2022-03-10 21:10:58.563949
28.678,28.799999999999997,28.9,NO MAX_MODE,2022-03-10 21:45:10.332955
26.406,25.5,25.4,NO MAX_MODE,2022-03-10 22:49:26.392003
