Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2022-02-14 19:17:19.784973,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:17:31.072360,*,,BB4,Left,Right
2022-02-14 19:17:34.028092,,2.9495,Food_retrieval,Left,Right
2022-02-14 19:19:07.173512,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:19:45.635787,*,,BB3,Left,Right
2022-02-14 19:19:45.896660,,255,drink,Left,Right
2022-02-14 19:20:15.068204,0.0,,Run_log_BB2,Left,Right
2022-02-14 19:20:15.073765,91654,255,exit_drink,Left,Right
2022-02-14 19:20:29.939839,*,,BB4,Left,Right
2022-02-14 19:21:09.031897,,39.0812,Food_retrieval,Left,Right
2022-02-14 19:21:56.864188,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:22:01.407051,-,,END,Left,Right
2022-02-14 19:26:48.496655,+,,START,Left,Right
2022-02-14 19:26:55.583116,*,,BB2,Left,Right
2022-02-14 19:26:57.774458,*,,BB4,Left,Right
2022-02-14 19:26:59.925335,,2.1448,Food_retrieval,Left,Right
2022-02-14 19:27:44.425793,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:27:56.067909,*,,BB4,Left,Right
2022-02-14 19:27:57.794864,,1.7212,Food_retrieval,Left,Right
2022-02-14 19:28:23.221970,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:28:26.128716,*,,BB4,Left,Right
2022-02-14 19:28:28.237709,,2.1026,Food_retrieval,Left,Right
2022-02-14 19:28:57.800728,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:29:03.081986,*,,BB4,Left,Right
2022-02-14 19:29:07.494867,,4.4071,Food_retrieval,Left,Right
2022-02-14 19:29:51.279501,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:29:57.125902,*,,BB4,Left,Right
2022-02-14 19:30:09.247200,,12.115,Food_retrieval,Left,Right
2022-02-14 19:30:43.671509,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:30:49.060289,*,,BB4,Left,Right
2022-02-14 19:30:51.118238,,2.0523,Food_retrieval,Left,Right
2022-02-14 19:31:24.547200,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:31:29.439355,-,,END,Left,Right
2022-02-14 19:39:14.023044,+,,START,Left,Right
2022-02-14 19:39:18.404664,*,,BB2,Left,Right
2022-02-14 19:39:21.231286,*,,BB4,Left,Right
2022-02-14 19:39:23.204905,,1.9623,Food_retrieval,Left,Right
2022-02-14 19:40:07.637091,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:40:13.722397,*,,BB4,Left,Right
2022-02-14 19:40:15.414417,,1.6864,Food_retrieval,Left,Right
2022-02-14 19:40:49.728107,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:40:55.997877,*,,BB4,Left,Right
2022-02-14 19:40:58.470118,,2.4658,Food_retrieval,Left,Right
2022-02-14 19:41:28.511799,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:41:32.108136,*,,BB4,Left,Right
2022-02-14 19:41:34.411215,,2.2974,Food_retrieval,Left,Right
2022-02-14 19:42:06.576786,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:42:13.353678,*,,BB4,Left,Right
2022-02-14 19:42:25.226204,,11.8661,Food_retrieval,Left,Right
2022-02-14 19:43:00.082777,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:43:04.645271,*,,BB4,Left,Right
2022-02-14 19:43:08.600925,,3.9499,Food_retrieval,Left,Right
2022-02-14 19:43:26.369765,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:43:32.065608,*,,BB4,Left,Right
2022-02-14 19:43:34.002915,,1.9317,Food_retrieval,Left,Right
2022-02-14 19:44:05.217471,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:44:16.131030,*,,BB3,Left,Right
2022-02-14 19:44:16.271895,,136,drink,Left,Right
2022-02-14 19:44:56.235093,0.6556,,Run_log_BB2,Left,Right
2022-02-14 19:44:56.241138,73126,136,exit_drink,Left,Right
2022-02-14 19:45:01.825440,*,,BB4,Left,Right
2022-02-14 19:45:03.517595,,1.6864,Food_retrieval,Left,Right
2022-02-14 19:45:16.132655,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:45:19.928749,*,,BB4,Left,Right
2022-02-14 19:45:21.851318,,1.9163,Food_retrieval,Left,Right
2022-02-14 19:45:47.055880,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:45:50.963052,*,,BB4,Left,Right
2022-02-14 19:45:52.669741,,1.701,Food_retrieval,Left,Right
2022-02-14 19:46:12.386199,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:46:15.710608,*,,BB4,Left,Right
2022-02-14 19:46:17.826203,,2.11,Food_retrieval,Left,Right
2022-02-14 19:46:25.982715,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:46:33.207780,*,,BB3,Left,Right
2022-02-14 19:46:33.248576,,36,drink,Left,Right
2022-02-14 19:48:23.029925,2.1556,,Run_log_BB2,Left,Right
2022-02-14 19:48:23.035836,163617,36,exit_drink,Left,Right
2022-02-14 19:48:36.997755,*,,BB4,Left,Right
2022-02-14 19:48:38.976908,,1.9731,Food_retrieval,Left,Right
2022-02-14 19:48:50.487013,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:49:01.344259,*,,BB3,Left,Right
2022-02-14 19:49:01.385216,,35,drink,Left,Right
2022-02-14 19:49:21.458043,0.0,,Run_log_BB2,Left,Right
2022-02-14 19:49:21.463759,135513,35,exit_drink,Left,Right
2022-02-14 19:49:30.958784,*,,BB4,Left,Right
2022-02-14 19:49:32.622796,,1.6581,Food_retrieval,Left,Right
2022-02-14 19:49:47.034324,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:50:13.876218,*,,BB4,Left,Right
2022-02-14 19:50:24.539204,,10.656,Food_retrieval,Left,Right
2022-02-14 19:50:41.723514,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:51:18.373400,*,,BB3,Left,Right
2022-02-14 19:51:18.563365,,184,drink,Left,Right
2022-02-14 19:51:38.025069,0.0,,Run_log_BB2,Left,Right
2022-02-14 19:51:38.030860,69483,184,exit_drink,Left,Right
2022-02-14 19:51:56.018894,*,,BB4,Left,Right
2022-02-14 19:52:07.521938,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:52:10.981585,-,,END,Left,Right
2022-02-14 19:56:51.713513,+,,START,Left,Right
2022-02-14 19:56:56.029500,*,,BB2,Left,Right
2022-02-14 19:56:57.216616,*,,BB4,Left,Right
2022-02-14 19:57:05.232753,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:57:08.324661,*,,BB4,Left,Right
2022-02-14 19:57:16.134953,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:57:20.280298,*,,BB4,Left,Right
2022-02-14 19:57:30.430979,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:57:52.151637,*,,BB3,Left,Right
2022-02-14 19:57:52.176704,,20,drink,Left,Right
2022-02-14 19:58:16.616149,0.2222,,Run_log_BB2,Left,Right
2022-02-14 19:58:16.622249,179219,20,exit_drink,Left,Right
2022-02-14 19:58:22.483304,*,,BB4,Left,Right
2022-02-14 19:58:26.743661,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:58:35.272142,*,,BB3,Left,Right
2022-02-14 19:58:35.304858,,27,drink,Left,Right
2022-02-14 19:59:04.694119,0.0,,Run_log_BB2,Left,Right
2022-02-14 19:59:04.699943,167647,27,exit_drink,Left,Right
2022-02-14 19:59:11.781158,*,,BB4,Left,Right
2022-02-14 19:59:14.679375,0.0,,Food_log_BB2,Left,Right
2022-02-14 19:59:42.219375,-,,END,Left,Right
2022-02-14 20:11:39.671093,+,,START,Left,Right
2022-02-14 20:11:47.569224,*,,BB2,Left,Right
2022-02-14 20:11:49.799613,*,,BB4,Left,Right
